,review_number,dominant_topic,original_text,tokens,compound_sentiment,weighted_compound_sentiment
0,2132,Strategic Gameplay,was at war my enemy sent his son to invade me my son beat him in single combat he respected my son so much he betrayed his father and joined me his father attacked personally gave his son an army my enemies own son killed him in single combat 10/10 would turn families on each other again,"['war', 'enemy', 'son', 'son', 'combat', 'son', 'father', 'father', 'son', 'army', 'enemy', 'son', 'combat', 'turn', 'family']",-0.9752,-0.873028279386712
1,522,Strategic Gameplay,"lost fully stacked army with elite units because married away the commander , why does not it ask me to replace them like when commander dies? completely ruined large awaiting battle. also the popups in this game are frustrating , repetetive and annoying. you cannot see where people trading with you are unless you have met them , which is redicilous because they can still marry someone off of you.","['army', 'elite_units', 'commander', 'commander', 'awaiting', 'battle', 'popup', 'people', 'marry']",-0.8858,-0.7929947189097104
2,1669,Tactical Gameplay,"oh oh oh ohhhhhhhh everybody was kung fu fighting , those cats were fast as lightning in fact it was little bit frightening , but they fought with expert timing there were funky china men from funky chinatown they were trapping bend up , they were trapping bend down it is an ancient chinese art , and everybody knew their part for my friend , am not you stiff , then am kickin ' from the hip everybody was kung fu fighting , those kids were fast as lightning in fact it was little bit frightening , but they fought with expert timing there was funky billy jim and little sammy john he said , here comes the big boss , let us get it on he took the bow and made stand , started swaying with the hand sudden motion made me stiff , now we are into brandnew trip everybody was kung fu fighting , those kids were fast as lightning in fact it was little bit frightening , but they did it with expert timing everybody was kung fu fighting , those kids were fast as lightning in fact it was little bit frightening , make sure you have expert timing kung fu fighting , had to be fast as lightning ...","['everybody', 'kung_fu', 'cat', 'lightning', 'fact', 'little_bit', 'expert', 'funky', 'china', 'man', 'funky', 'bend', 'trapping', 'bend', 'ancient_chinese', 'art', 'everybody', 'friend', 'kickin', 'hip', 'everybody', 'kung_fu', 'kid', 'lightning', 'fact', 'little_bit', 'expert', 'funky', 'sammy', 'boss', 'bow', 'hand', 'motion', 'trip', 'everybody', 'kung_fu', 'kid', 'lightning', 'fact', 'little_bit', 'expert', 'everybody', 'kung_fu', 'kid', 'lightning', 'fact', 'little_bit', 'expert', 'timing', 'kung_fu', 'lightning']",-0.9955,-0.764290743895514
3,1811,Tactical Gameplay,"liked it in the beginning , but as continued , it only became harder on me as the small things thought would get used to slowly grind my gears to halt and not want to touch it anymore. while it seems more stable than most other games at launch , still run into the crash to desktop problems. but putting that aside , find it incredibly difficult to play the game as the ai just hates you , and for some reason , only you. this problem compounds when you try and use some factions special mechanic , many of which require being able to actually deal in diplomacy with other factions. you ca not be making deals with people , when all they want is war with you. and ca not prove that they do this consistently , but find , even when they ’re at conflict with others , they will dedicate themselves to screwing you over. i ’ve had faction declare war on me , half the country away , sail all their troops down just to ruin my day , and at the same time , someone else declared war on them , and they did not even bat an eye , even let that faction take over all their original land and their capitol.","['thing', 'gear', 'touch', 'game', 'run', 'crash', 'desktop', 'problem', 'play', 'reason', 'problem', 'compound', 'faction', 'mechanic', 'diplomacy', 'faction', 'deal', 'people', 'war', 'conflict', 'dedicate', 'faction', 'declare_war', 'country', 'troop', 'day', 'time', 'declared_war', 'bat', 'eye', 'faction', 'land', 'capitol']",-0.9881,-0.7586094264622374
4,1821,Tactical Gameplay,"this is certainly the most stable on release from the series. have yet to have one crash ... .well that is the positive. some of the mechanics need to be changed especially those that effect the mid game point. the game cheats you in the sense that you can see the ai factions in negative cash and also food resource yet they throw stacks after stack at you whilst suffering no attrition ... this should not be thing. the worst tactic that the ai seems to employ is sending stack into your territory you then have to send an army after it. due to the ' retreat once ' bs before they have to fight you , they constantly just retreat out of your reach so you can never initiate battle. so one of your limited armies are spent chasing some minor stack of cowards around the map ... get it sorted. diplomacy is lot more in depth albeit completely broken , as factions will randomly attack you for no reason then want to trade the next minute. basically this is re skin of warhammer with new things that do not work properly and broken ai ... give this game dog turds out of 10.","['release', 'series', 'crash', 'mechanic', 'effect', 'point', 'cheat', 'faction', 'cash', 'food', 'resource', 'stack', 'stack', 'attrition', 'thing', 'tactic', 'employ', 'stack', 'territory', 'army', 'retreat', 'initiate', 'battle', 'army', 'stack', 'coward', 'diplomacy', 'depth', 'faction', 'attack', 'reason', 'trade', 'minute', 'skin', 'thing', 'dog']",-0.9607,-0.7375731970471323
5,1620,Tactical Gameplay,"2. ancient chinese cheetah men. by this mean they decided that charging infantry can chase down fleeing horses. now if the horses are in red fatigue and it is over short distance , can understand. but yellow fatigue horses being chased down for over minutes? no , stupid dumb and limits the use of cav because if the player is smart , their first charge is their last , in which case , why bother with shot unit when can deploy glaives?","['ancient_chinese', 'cheetah', 'man', 'infantry', 'chase', 'horse', 'horse', 'fatigue', 'distance', 'fatigue', 'horse', 'minute', 'limit', 'player', 'charge', 'case', 'bother', 'unit', 'deploy', 'glaif']",-0.9409,-0.7223718341851221
6,2377,Tactical Gameplay,"+ agents have essentially gone , though the intel gathering aspect is managed through spying sub mechanic. cons - majority of factions are surrounded by potential enemies , and most of the territory you will lose in this game will be because you are fighting several front war and cannot be everywhere at once.","['agent', 'intel', 'gathering', 'aspect', 'sub', 'mechanic', 'con', 'majority', 'faction', 'enemy', 'territory', 'war']",-0.9062,-0.6957310618966497
7,2397,Tactical Gameplay,"just 10 hours , yeah but here 's my take , which may or may not change. got four beefs that just might be me idk 1. food consumes most of my build slots. get that you need food , but man it seems almost scarce ; and all the other factions 's food is"" very poor"" or just"" poor. ""","['10_hours', 'change', 'beef', 'food', 'slot', 'food', 'man', 'faction', 'food']",-0.8801,-0.6756929017603635
8,307,Strategic Gameplay,get to be warlord and extort money through heavy taxes and kill all the peasants that try to revolt against said heavy taxes and make more money off of them.,"['warlord', 'extort', 'money', 'tax', 'peasant', 'revolt', 'tax', 'money']",-0.6908,-0.6184248722316865
9,1944,Tactical Gameplay,make an ally get into coalition get into your various allies ´s wars get betrayed keep playing cause fucking love this shit.,"['ally', 'coalition', 'ally', 'war', 'because', 'love', 'shit']",-0.7837,-0.6016822260079501
