,dominant_topic,original_text,topic_perc_contrib,tokens,num_tokens,unique_tokens,num_unique_tokens,keywords
638,Content & Authenticity,One of the best entries in this franchise!,0.6662999987602234,['one_best_entries'],1,['one_best_entries'],1,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
1460,Content & Authenticity,Great game with alot of new features but it lacks unique design for all main romance heroes.,0.8881000280380249,"['alot', 'new_features', 'design', 'romance', 'hero']",5,"['hero', 'design', 'alot', 'romance', 'new_features']",5,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
1844,Characters,"can rule china buy trading rice.

Broken Marriage/10",0.8457000255584717,"['rule_china', 'trading', 'rice', 'marriage']",4,"['trading', 'rule_china', 'rice', 'marriage']",4,"china, war, cao_cao, lu_bu, liu_bei, yuan_shao, army, character, man, emperor"
382,Content & Authenticity,"Absolute blast,
Best TW ive played",0.8330000042915344,"['blast', 'best_tw', 'ive_played']",3,"['blast', 'ive_played', 'best_tw']",3,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
111,Content & Authenticity,really good. everything you want in a total war game. cant wait for dlc,0.6664000153541565,['wait_dlc'],1,['wait_dlc'],1,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
3589,Content & Authenticity,Little bugs. New mechanics. Looks great. Recommend,0.4959000051021576,"['bug', 'new_mechanics']",2,"['new_mechanics', 'bug']",2,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
1096,Content & Authenticity,"Probably one of the better Total War games, though plagued by bugs and bad UI",0.4925000071525574,"['total_war_games', 'bug']",2,"['bug', 'total_war_games']",2,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
3640,Content & Authenticity,Well worth the wait - Amazballs!!,0.6664000153541565,['worth_wait'],1,['worth_wait'],1,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
855,Tactical Gameplay,"Shogun 2 with a big diplomacy system upgrade. Oh, and heroes. Taishi Ci for the win!!!",0.6510000228881836,"['shogun_two', 'diplomacy', 'upgrade', 'hero', 'win']",5,"['win', 'diplomacy', 'upgrade', 'hero', 'shogun_two']",5,"unit, battle, faction, army, general, character, diplomacy, campaign, hero, building"
82,Characters,first thing i do is annihilate liu bei :p,0.6150000095367432,['liu_bei'],1,['liu_bei'],1,"china, war, cao_cao, lu_bu, liu_bei, yuan_shao, army, character, man, emperor"
242,Content & Authenticity,Beautiful genre in a magnificent time period. Even better than Shogun 2.,0.5666999816894531,"['genre', 'time_period', 'shogun_two']",3,"['genre', 'shogun_two', 'time_period']",3,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
925,Characters,"fun game, let me get sun jian to live until he died of old age instead of arrows to the back",0.41100001335144043,"['sun_jian', 'old_age']",2,"['sun_jian', 'old_age']",2,"china, war, cao_cao, lu_bu, liu_bei, yuan_shao, army, character, man, emperor"
1531,Content & Authenticity,"By far the best Total War game, the mechanics are smooth, campaign feels relevant, and as always the battles are a blast",0.8881999850273132,"['best_total_war', 'mechanic', 'campaign', 'battle', 'blast']",5,"['mechanic', 'best_total_war', 'campaign', 'blast', 'battle']",5,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
1202,Content & Authenticity,"Best game to learn more about China. If you liked Warhammer 2, this game will please you. 
It combines the best of Warhammer 2 and does not have the bad ones. So have fun and enjoy. :)",0.8579000234603882,"['china', 'warhammer_two', 'combine', 'warhammer_two']",4,"['warhammer_two', 'china', 'combine']",3,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
2312,Content & Authenticity,"Gameplay looks amazing no lags, Duel is pretty good, overall this game is pretty good.",0.8314999938011169,"['gameplay', 'lag', 'duel']",3,"['lag', 'duel', 'gameplay']",3,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
1675,Content & Authenticity,A great direcion TW took here. I like it!,0.6664000153541565,"['direcion', 'tw']",2,"['direcion', 'tw']",2,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
1144,"UX/UI, Performance, Stability","Dayumed fuckin good.

Dunno about the 4 bucks DLC though.",0.5595999956130981,['buck'],1,['buck'],1,"campaign, hour, issue, battle, bug, crash, multiplayer, review, rome, fix"
3482,Strategic Gameplay,"The game seems fun, but I cannot access the Diplomacy button and can literally do no diplomatic actions.",0.6305999755859375,"['access', 'diplomacy', 'button', 'action']",4,"['button', 'action', 'access', 'diplomacy']",4,"faction, army, diplomacy, vassal, war, player, people, way, city, problem"
1696,Strategic Gameplay,Play 15h straight. If i play a game hours on end is good in my book =),0.7063999772071838,"['15h', 'end', 'book']",3,"['15h', 'book', 'end']",3,"faction, army, diplomacy, vassal, war, player, people, way, city, problem"
1648,Characters,"""It's Lu Bu, do not pursue!""

11/10 Would rout my army against Fengxian again.",0.8068000078201294,"['lu_bu', '11_10', 'rout', 'army', 'fengxian']",5,"['lu_bu', 'army', 'rout', '11_10', 'fengxian']",5,"china, war, cao_cao, lu_bu, liu_bei, yuan_shao, army, character, man, emperor"
1654,Content & Authenticity,this game understands me. It's got strategy and it's got stupidly crazy generals that just go nuts.,0.4636000096797943,"['strategy', 'general', 'nut']",3,"['general', 'strategy', 'nut']",3,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
653,Content & Authenticity,This is the best entry in the series.,0.7774999737739563,"['entry', 'series']",2,"['entry', 'series']",2,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
1511,Tactical Gameplay,Game is very fun to play and I didn't really have any issues but there is one thing that's bothering me: how can peasants win 1v1 with regular units?,0.4415999948978424,"['issue', 'peasant', 'unit']",3,"['unit', 'peasant', 'issue']",3,"unit, battle, faction, army, general, character, diplomacy, campaign, hero, building"
287,Content & Authenticity,This game actually came out in a great state. *cough Rome II*,0.83160001039505,"['state', 'cough', 'rome_two']",3,"['state', 'rome_two', 'cough']",3,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
1562,Characters,One of the best Total War Games out there!,0.5533000230789185,['one_best_total_war'],1,['one_best_total_war'],1,"china, war, cao_cao, lu_bu, liu_bei, yuan_shao, army, character, man, emperor"
1238,Content & Authenticity,Probably one of the best of the Total War Historical games. The Diplomatic system is so far the best of any Total War games and the Romance mode adds a breath of fresh air to the Total War formula.,0.6642000079154968,"['probably_one_best', 'best_total_war_games', 'romance_mode', 'breath_fresh_air', 'total_war_formula']",5,"['probably_one_best', 'romance_mode', 'total_war_formula', 'breath_fresh_air', 'best_total_war_games']",5,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
2920,Content & Authenticity,"The game is well polished and feels like almost every aspect of the game has been made with warm and caring hands

Buy it.",0.8325999975204468,"['feel', 'aspect', 'hand']",3,"['aspect', 'hand', 'feel']",3,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
2649,Strategic Gameplay,Not enough Japanese people in the game 1/10,0.5748000144958496,['people'],1,['people'],1,"faction, army, diplomacy, vassal, war, player, people, way, city, problem"
