,dominant_topic,original_text,topic_perc_contrib,tokens,num_tokens,unique_tokens,num_unique_tokens,keywords
387,Strategic Gameplay,Just wanna say plain and liu bei sucks,0.7401999831199646,"['liu_bei', 'suck']",2,"['suck', 'liu_bei']",2,"china, war, cao_cao, lu_bu, liu_bei, yuan_shao, army, character, man, emperor"
3076,Strategic Gameplay,"I want choose Dong Zhuo or He Jin,",0.6150000095367432,"['dong_zhuo', 'jin']",2,"['dong_zhuo', 'jin']",2,"china, war, cao_cao, lu_bu, liu_bei, yuan_shao, army, character, man, emperor"
2023,Tactical Gameplay,FOOD IS THE MOST OP RESOURCE. I GOT 3.8 K JUST FROM TRADING FOOD :),0.8550999760627747,"['food', 'op', 'resource', 'trading', 'food']",5,"['trading', 'op', 'resource', 'food']",4,"unit, battle, faction, army, general, character, diplomacy, campaign, hero, building"
160,Series Authenticity,One of my favorite in the series,0.7774999737739563,"['one_favorite', 'series']",2,"['series', 'one_favorite']",2,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
725,Series Authenticity,"Great game, to put countless hours into one campaign. After you finish one, you want to go right back into another!",0.5195000171661377,"['countless_hours', 'campaign', 'finish']",3,"['campaign', 'finish', 'countless_hours']",3,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
145,Series Authenticity,Great game and interesting AI gameplay which make the progress seems like watching a three kingdom drama.,0.866100013256073,"['gameplay', 'progress', 'three_kingdom', 'drama']",4,"['drama', 'gameplay', 'progress', 'three_kingdom']",4,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
1307,Strategic Gameplay,Need more unique portraits and models for the famous generals/strategist,0.4106000065803528,"['unique_portraits', 'model', 'generalsstrategist']",3,"['generalsstrategist', 'unique_portraits', 'model']",3,"china, war, cao_cao, lu_bu, liu_bei, yuan_shao, army, character, man, emperor"
2638,Series Authenticity,The best title in the series so far I think. The only thing it needs right now is the blood pack dlc.,0.8884000182151794,"['title', 'series', 'need', 'blood_pack', 'dlc']",5,"['title', 'need', 'dlc', 'blood_pack', 'series']",5,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
1761,Series Authenticity,"I am going to keep it short, if you like shogun 2 you will love this game",0.7771000266075134,"['shogun', 'love']",2,"['shogun', 'love']",2,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
793,Series Authenticity,best total war game in ages!!,0.5067999958992004,"['best_total_war', 'age']",2,"['best_total_war', 'age']",2,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
828,Strategic Gameplay,Take this heartless and disloyal beast out and execute him.,0.7430999875068665,"['beast', 'execute']",2,"['execute', 'beast']",2,"china, war, cao_cao, lu_bu, liu_bei, yuan_shao, army, character, man, emperor"
1113,Tactical Gameplay,I really like the RPG side of things managing your characters and their equipment.,0.4837999939918518,"['rpg', 'character', 'equipment']",3,"['character', 'equipment', 'rpg']",3,"unit, battle, faction, army, general, character, diplomacy, campaign, hero, building"
111,Series Authenticity,really good. everything you want in a total war game. cant wait for dlc,0.6664000153541565,['wait_dlc'],1,['wait_dlc'],1,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
2698,Game Stability,"Probably one of the only games out this year that is worth the price. Its great.

The only thing i would say they need to fix is diplomacy. You can kinda break the game with it and win rather quickly.",0.5166000127792358,"['year', 'worth_price', 'need_fix', 'diplomacy', 'win']",5,"['worth_price', 'need_fix', 'diplomacy', 'year', 'win']",5,"campaign, hour, issue, battle, bug, crash, multiplayer, review, rome, fix"
3060,Series Authenticity,Amazing Game. One of the Best Total Wars that I've ever played.,0.6664000153541565,['one_best_total_wars'],1,['one_best_total_wars'],1,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
1505,Series Authenticity,"Best Total War to date. Does everything previous titles did, but better.",0.7773000001907349,"['best_total_war_date', 'previous_titles']",2,"['previous_titles', 'best_total_war_date']",2,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
2282,Hist/Cultr Authenticity,"This is, without a doubt, the best game I've ever played. Can't wait for dlc's and updates!",0.7135999798774719,"['dlcs', 'update']",2,"['dlcs', 'update']",2,"faction, army, diplomacy, vassal, war, player, people, way, city, problem"
3490,Series Authenticity,Best total war game ever played! :),0.6664000153541565,['best_total_war'],1,['best_total_war'],1,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
931,Hist/Cultr Authenticity,Great game lots of fun 10/10,0.5771999955177307,['lots_fun'],1,['lots_fun'],1,"faction, army, diplomacy, vassal, war, player, people, way, city, problem"
3560,Game Stability,"So far its pretty good, will update later.
not a standard total war game xD",0.5534999966621399,['update'],1,['update'],1,"campaign, hour, issue, battle, bug, crash, multiplayer, review, rome, fix"
2423,Series Authenticity,Three Kingdoms is easily one of the best games in the series.,0.8328999876976013,"['three_kingdoms', 'one_best', 'series']",3,"['three_kingdoms', 'series', 'one_best']",3,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
2706,Strategic Gameplay,Does anyone know i am palying this game without charging the fps i got is only 29 fps when i charge it goes to 80 fps can someone helpme how to fix this?,0.5044999718666077,"['fps', 'fps', 'charge', 'fps', 'fix']",5,"['fix', 'charge', 'fps']",3,"china, war, cao_cao, lu_bu, liu_bei, yuan_shao, army, character, man, emperor"
855,Series Authenticity,Made me fall in love with chinese history,0.7771000266075134,"['love', 'chinese_history']",2,"['chinese_history', 'love']",2,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
84,Series Authenticity,"A great TW, especially in co-op.",0.3328000009059906,[],0,[],0,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
489,Game Stability,Enjoyed the initial release. Cant wait until we can mod it.,0.6931999921798706,"['release', 'mod']",2,"['release', 'mod']",2,"campaign, hour, issue, battle, bug, crash, multiplayer, review, rome, fix"
871,Series Authenticity,Excellent performance for a Total War game.,0.6651999950408936,['performance'],1,['performance'],1,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
1217,Series Authenticity,the dynasty warrior game ive been waiting for,0.664900004863739,['dynasty_warrior'],1,['dynasty_warrior'],1,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
2560,Strategic Gameplay,"Probably going to fail my class because of this game, highly recommend. Also Sun Ren becomes an adult Autumn 207",0.5572999715805054,"['class', 'highly_recommend', 'sun_ren', 'adult', 'autumn']",5,"['adult', 'sun_ren', 'class', 'highly_recommend', 'autumn']",5,"china, war, cao_cao, lu_bu, liu_bei, yuan_shao, army, character, man, emperor"
382,Series Authenticity,"Absolute blast,
Best TW ive played",0.8330000042915344,"['blast', 'best_tw', 'ive_played']",3,"['best_tw', 'blast', 'ive_played']",3,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
1520,Strategic Gameplay,"really like this total war three kingdoom because i like the story and the strategy.if u like war from the past this one most best for u.
",0.45840001106262207,"['kingdoom', 'story', 'war', 'one_best', 'u']",5,"['story', 'war', 'kingdoom', 'u', 'one_best']",5,"china, war, cao_cao, lu_bu, liu_bei, yuan_shao, army, character, man, emperor"
397,Series Authenticity,"Very fun, recommended if you have enjoyed previous Total War titles.",0.8324000239372253,"['fun', 'previous_total_war', 'title']",3,"['previous_total_war', 'title', 'fun']",3,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
2032,Series Authenticity,"All i have to say is that i accidentally stayed up to 5 in the morning the other night, thats how much fun this game is",0.7710999846458435,"['morning', 'night']",2,"['night', 'morning']",2,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
243,Series Authenticity,Probably the best Total war game to date,0.7775999903678894,"['probably_best', 'date']",2,"['probably_best', 'date']",2,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
3120,Series Authenticity,Best launch of a total war game so far.,0.3328000009059906,[],0,[],0,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
64,Series Authenticity,Great Game. Alot of innovative ideas and well executed. Relatively bug-free on launch as well!,0.8327000141143799,"['alot', 'idea', 'launch']",3,"['alot', 'launch', 'idea']",3,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
2937,Series Authenticity,"Well, considering I played just about every total war game religiously, this may be the best one yet.",0.3328000009059906,[],0,[],0,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
2705,Series Authenticity,Lovely. I wasn't convinced to buy it at the beginning but I bought it anyways and I don't regret it. I love the new romance mode and the campaign mechanics.,0.8658999800682068,"['regret', 'love', 'romance_mode', 'campaign_mechanics']",4,"['romance_mode', 'love', 'regret', 'campaign_mechanics']",4,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
1369,Tactical Gameplay,maybe if they had more trebuchets the rape of nanjing wouldn't have happened,0.5691999793052673,"['trebuchet', 'rape', 'nanjing']",3,"['nanjing', 'trebuchet', 'rape']",3,"unit, battle, faction, army, general, character, diplomacy, campaign, hero, building"
1561,Series Authenticity,The best Total War game ever released,0.6664000153541565,['best_total_war'],1,['best_total_war'],1,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
1076,Strategic Gameplay,Great game (doing this for the summer sale),0.6148999929428101,['summer_sale'],1,['summer_sale'],1,"china, war, cao_cao, lu_bu, liu_bei, yuan_shao, army, character, man, emperor"
1971,Series Authenticity,Very amazing game to play IMO. First time buying total wars and im loving it,0.44350001215934753,"['buying', 'total_wars']",2,"['buying', 'total_wars']",2,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
156,Series Authenticity,I like it a lot. You should like it a lot too.,0.3328000009059906,[],0,[],0,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
411,Series Authenticity,Got a general I didn't like because he smiled weird. He got kidnapped. Didn't pay 500 to free him. He was executed. 10/10,0.6646000146865845,['pay'],1,['pay'],1,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
3051,Strategic Gameplay,"Amazing Game, prob one of the best Total war games",0.5537999868392944,"['prob', 'one_best_total_war']",2,"['one_best_total_war', 'prob']",2,"china, war, cao_cao, lu_bu, liu_bei, yuan_shao, army, character, man, emperor"
3418,Game Stability,so far so good. it's a total war game. not sure what to say here. the diplomacy has been improved so much since atilla and works really well. everything else is just as you would expect a total war game to be.,0.4523000121116638,"['diplomacy', 'atilla', 'work']",3,"['atilla', 'diplomacy', 'work']",3,"campaign, hour, issue, battle, bug, crash, multiplayer, review, rome, fix"
82,Strategic Gameplay,first thing i do is annihilate liu bei :p,0.6150000095367432,['liu_bei'],1,['liu_bei'],1,"china, war, cao_cao, lu_bu, liu_bei, yuan_shao, army, character, man, emperor"
3078,Game Stability,"Like any other total war game, INSTALL on SSD for fast load times",0.7063000202178955,"['ssd', 'load_times']",2,"['load_times', 'ssd']",2,"campaign, hour, issue, battle, bug, crash, multiplayer, review, rome, fix"
1408,Series Authenticity,Im not very into total war games but I have been having fun with this one.,0.7764999866485596,"['total_war_games', 'fun']",2,"['fun', 'total_war_games']",2,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
