,dominant_topic,original_text,topic_perc_contrib,tokens,num_tokens,unique_tokens,num_unique_tokens,keywords,correct
3223,Strategic Gameplay,i like this game but im not sure about the sieges yet,0.72390002,"['im_sure', 'siege']",2,"['im_sure', 'siege']",2,"faction, army, diplomacy, vassal, war, player, people, way, city, problem",0
189,Series Authenticity,Very nice game but needs some fixing.,0.66170001,['need'],1,['need'],1,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun",0
860,Series Authenticity,"I had never really played a Total War game before and I was really unsure about this game. I usually play a lot of fps games with good graphics and this game didn?? seem great to me. On top of that, I don?? know much about ancient China and was worried that I wouldn?? understand or care about what was happening, but I decided to give it a shot anyway. I was not let down at all, this game is extremely fun, addicting, engaging and mentally stimulating. This game takes a little time figuring out how to play, but once you get the hang of it, it?? hard to stop playing. If you are on the fence about this game like I was, I reccomend you go for it despite any reservations you have. If really end up not liking it, just request a refund.",0.600300014,"['unsure', 'fps', 'graphic', 'ancient_china', 'care', 'shot', 'play', 'stop_playing', 'fence', 'reservation', 'request', 'refund']",12,"['graphic', 'unsure', 'shot', 'refund', 'request', 'fps', 'ancient_china', 'care', 'play', 'stop_playing', 'reservation', 'fence']",12,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun",1
1256,Tactical Gameplay,"Great graphics, art style and one of the smoothest gameplay for a Total War game at launch.

The Chinese voice overs (enable it in menu) are really good but the battle taunts get repetitive after 1 hour and you'll likely want to disable that function.

For the faction choices, there are quite a few factions to choose from. I think you would like it more if you know stuff about the Three Kingdoms period because you can then play as your favourite characters. For their unique units, buildings and abilities, there are sufficient differences for some characters. The Yellow Turbans have a different technology system and unit roster as compared to the rest.

For the campaign map, it is quite big and with varied sceneries to represent the different landscape China has to offer. Though the building system may be somewhat limited due to a rather limited roster and a few ""must have"" buildings, it still works. There's food, trade, population, public order, revolts etc.

The main plus point in the campaign would be diplomacy. It has improved a lot as compared to previous titles, as there are more options to choose from and diplomatic alliances or agreements matter more in this game. The spy system though sometimes useful, can be neglected. Still, there should be changes to better include UI and tooltips regarding administrators, the family tree and recruitment.

For battles, the maps are an upgrade as compared to previous games based on looks. Towers and trebuchets are potent in this game. The tactics used are about the same as other Total War games but in Romance mode, the duels look good and the generals are essentially tanks. A limited unit roster does make gameplay slighty more repetitive sometimes but it's Total War.

Sieges can be quite similar though. Most often it is trebuchet for towers/walls -> archers for towers/units) -> duel to decrease morale (if you win) -> charge and repeat
Granted there are variations of walled town sieges and resource sieges, they roughly play out about the same. Sometimes if you outnumber the AI in artilery they would charge out in resource battles which makes it easier since they bottleneck at the entrances and with flaming shot for trebuchets it's over.
It's quite fun for the first 100+ times maybe, after that no so. Perhaps more options to use while defending or attacking would help (hot oil down the walls, booby traps, tunneling under walls)

There's a lack of Naval Combat which is a bit sad but then again, it is difficult to put it into this game. Perhaps there can be DLCs which has scenarios that allow naval combat to be implemented (Korea stuff) or there can even be focused maps that make the rivers larger and more important than it is now.

As for character portraits, let's just use mods because other than the few unique characters they're all about the same and it is hard to have as much fun as when you have had the unique characters. Probably an expansion would be put out sometime later.

Overall, if you like China and Chinese history this is a very good game. I bought it at launch and felt that I have enjoyed it enough to warrant the purchase, I think it's one of the more polished and smooth Total War games. But I'm still kind of salty about have to pay for blood in this game though... The title is literally ""Total War""",0.845399976,"['graphic', 'art_style', 'gameplay', 'launch', 'chinese_voice', 'menu', 'battle', 'taunt', 'hour', 'function', 'faction', 'choice', 'faction', 'stuff', 'three_kingdoms_period', 'character', 'unique_units', 'building', 'ability', 'difference', 'character', 'yellow_turbans', 'technology', 'unit_roster', 'rest', 'campaign_map', 'scenery', 'landscape', 'china', 'roster', 'building', 'food_trade', 'population', 'public_order', 'point', 'campaign', 'diplomacy', 'compared_previous_titles', 'option', 'alliance', 'agreement', 'matter', 'spy', 'change', 'tooltip', 'administrator', 'family_tree', 'recruitment', 'battle', 'map', 'compared_previous', 'tower', 'tactic', 'total_war_games', 'romance_mode', 'duel', 'general', 'tank', 'unit_roster', 'gameplay', 'siege', 'trebuchet', 'archer', 'towersunit', 'duel', 'decrease', 'morale', 'win', 'charge', 'repeat', 'variation', 'town', 'siege', 'resource', 'siege', 'outnumber', 'artilery', 'charge', 'resource', 'battle', 'bottleneck', 'entrance', 'shot', 'trebuchet', 'fun', 'option', 'attacking', 'help', 'oil', 'wall', 'trap', 'wall', 'naval_combat', 'dlcs', 'scenario', 'naval_combat', 'korea', 'stuff', 'map', 'river', 'character', 'portrait', 'mod', 'unique_characters', 'unique_characters', 'expansion', 'china', 'chinese_history', 'launch', 'warrant', 'purchase', 'total_war_games', 'pay_blood', 'title']",114,"['tactic', 'naval_combat', 'duel', 'compared_previous', 'wall', 'fun', 'town', 'function', 'battle', 'technology', 'campaign_map', 'difference', 'portrait', 'variation', 'help', 'general', 'warrant', 'unit_roster', 'shot', 'resource', 'point', 'building', 'outnumber', 'bottleneck', 'title', 'artilery', 'option', 'win', 'three_kingdoms_period', 'gameplay', 'launch', 'ability', 'diplomacy', 'pay_blood', 'taunt', 'graphic', 'towersunit', 'menu', 'entrance', 'chinese_voice', 'landscape', 'unique_units', 'hour', 'roster', 'map', 'attacking', 'stuff', 'purchase', 'siege', 'morale', 'rest', 'administrator', 'repeat', 'korea', 'dlcs', 'faction', 'tower', 'total_war_games', 'river', 'matter', 'scenario', 'art_style', 'china', 'tank', 'yellow_turbans', 'food_trade', 'family_tree', 'romance_mode', 'expansion', 'oil', 'unique_characters', 'character', 'trebuchet', 'chinese_history', 'recruitment', 'archer', 'trap', 'spy', 'compared_previous_titles', 'change', 'charge', 'scenery', 'public_order', 'campaign', 'choice', 'tooltip', 'agreement', 'alliance', 'decrease', 'population', 'mod']",91,"unit, battle, faction, army, general, character, diplomacy, campaign, hero, building",1
3239,Game Stability,"As a chinese, I think this game has gone deep enough into the romance of three kingdoms. The voice and lines are also very native.
Other than a little bit AI logic problem that all TW games have, this one is quite impressive. I played 17 hours on the release day. A bit tired but no regret. BTW my GTX1070 still holds the max graphx at 40-50 fps. Optimization is well done, worth the release delay.
I hope somewhere in years SEGA will consider an even earlier time period of China, where we had the seven kingdoms united by the first emperor. Would be another good chinese theme if the gamers are tired of conquering europe and fantastic world XD.",0.605499983,"['romance_three_kingdoms', 'voice', 'line', 'little_bit', 'logic', 'problem', 'tw_games', 'hour', 'release_day', 'regret', 'max', 'graphx', 'fps', 'optimization', 'release', 'delay', 'hope', 'year', 'sega', 'time_period', 'china', 'kingdom', 'emperor', 'theme', 'gamer', 'europe', 'world']",27,"['theme', 'kingdom', 'fps', 'gamer', 'optimization', 'tw_games', 'little_bit', 'year', 'graphx', 'europe', 'max', 'logic', 'hope', 'regret', 'release', 'sega', 'problem', 'romance_three_kingdoms', 'voice', 'delay', 'time_period', 'release_day', 'china', 'line', 'emperor', 'hour', 'world']",27,"campaign, hour, issue, battle, bug, crash, multiplayer, review, rome, fix",1
1497,Series Authenticity,"I like the broader aspects of the game, after the pretty much dumbed down Thrones of Britannia.
Just need some more units to keep the game interesting.",0.5255,"['aspect', 'thrones_britannia', 'need', 'unit']",4,"['unit', 'need', 'aspect', 'thrones_britannia']",4,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun",1
2727,Series Authenticity,"I am personally not a fan of the 'Three Kingdoms' timeline, the lore or the location, but this is a good total war game nonetheless.",0.887899995,"['fan', 'three_kingdoms', 'timeline', 'lore', 'location']",5,"['timeline', 'location', 'fan', 'three_kingdoms', 'lore']",5,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun",1
2394,Tactical Gameplay,"Pros :
- Very good diplomatic system, much better than the previous titles. It has much bigger impact on the campaign
- Detailed characters classes system with a blend of RPG in term of equipment and relationship.
- Beautiful graphic and great optimization
- Its the ROTK period, and lots of ppl love it just by the settings.

Neutral :
- Combat remain pretty much the same with the Archer > Spear / Melee > Cavalry > Archer system with the addition of characters abilities. Personally, i still prefer the Warhammer titles combat style where we have very diverse armies

Cons :
- Frustrating recruitment / replenishment system. It take really long to replenish army without reform/abilities, and your newly recruited unit does not appear with full model. You actually have to wait a few turns for the new unit to be at full strength. Luckily, all units take only a turn to recruit this time
- Missile feel a bit OP this time with lots of killing power

TL,DR : A must-buy for Total War fan. But newcomer beware, as it got a steep learning curve compared to other strategy game",0.880699992,"['pro', 'previous_titles', 'impact', 'campaign', 'character', 'class', 'term', 'equipment', 'relationship', 'optimization', 'rotk', 'period', 'ppl', 'love', 'setting', 'combat', 'archer', 'spear', 'cavalry', 'archer', 'addition', 'character', 'ability', 'warhammer_titles', 'combat', 'style', 'army', 'recruitment', 'replenishment', 'army', 'reformabilitie', 'unit', 'model', 'unit', 'strength', 'unit', 'recruit', 'missile', 'power', 'mustbuy', 'fan', 'newcomer', 'beware', 'steep_learning_curve', 'strategy']",45,"['previous_titles', 'steep_learning_curve', 'missile', 'impact', 'strategy', 'optimization', 'class', 'character', 'warhammer_titles', 'combat', 'recruitment', 'addition', 'pro', 'archer', 'model', 'recruit', 'ability', 'love', 'style', 'equipment', 'cavalry', 'newcomer', 'campaign', 'relationship', 'replenishment', 'fan', 'mustbuy', 'ppl', 'strength', 'spear', 'setting', 'period', 'power', 'beware', 'unit', 'army', 'term', 'rotk', 'reformabilitie']",39,"unit, battle, faction, army, general, character, diplomacy, campaign, hero, building",1
1906,Game Stability,this is the bad game ever. Cannot update the game.,0.553499997,['update'],1,['update'],1,"campaign, hour, issue, battle, bug, crash, multiplayer, review, rome, fix",1
82,Characters,first thing i do is annihilate liu bei :p,0.61500001,['liu_bei'],1,['liu_bei'],1,"china, war, cao_cao, lu_bu, liu_bei, yuan_shao, army, character, man, emperor",1
